python analyze_traffic.py --log-file logs/traffic_log_20250609_143649.csvtimestamp,flow_id,from_host,to_host,from_ip,to_ip,traffic_type,size_bytes,bandwidth_bps,latency_ms,duration_sec,packet_loss_pct,status,details,flow_start_time,flow_end_time
2025-06-09 14:28:01.407,flow_697,h4,h6,10.0.2.2,10.0.3.2,iperf,1174405,9440000,86.313,10,0,SUCCESS,"Transfer: 1.12 MBytes, Bandwidth: 9.44 Mbits/sec | Latency: 86.31ms",2025-06-09 14:28:01.407,2025-06-09 14:28:32.147
2025-06-09 14:28:22.937,flow_700,h3,h8,10.0.2.1,10.0.4.2,mtr,640,0,252.47,12.823354,0.0,SUCCESS,"NetDiag: Poor | Tests: basic(413.7ms,0%loss) | small_pkt(216.5ms,0%loss) | large_pkt(189.1ms,0%loss) | rapid(190.5ms,0%loss) | Jitter: 89.0% | Successful: 4/4",2025-06-09 14:28:22.937,2025-06-09 14:28:35.760
2025-06-09 14:27:54.901,flow_696,h1,h3,10.0.1.1,10.0.2.1,iperf,755712,6050000,8.756,30,0,SUCCESS,"Transfer: 738 KBytes, Bandwidth: 6.05 Mbits/sec | Latency: 8.76ms",2025-06-09 14:27:54.901,2025-06-09 14:28:37.597
2025-06-09 14:28:22.436,flow_699,h4,h3,10.0.2.2,10.0.2.1,mtr,640,0,96.13,23.84113,0.0,SUCCESS,"NetDiag: Poor | Tests: basic(188.4ms,0%loss) | small_pkt(147.4ms,0%loss) | large_pkt(21.7ms,0%loss) | rapid(27.0ms,0%loss) | Jitter: 173.4% | Successful: 4/4",2025-06-09 14:28:22.436,2025-06-09 14:28:46.277
2025-06-09 14:28:36.460,flow_703,h3,h5,10.0.2.1,10.0.3.1,mtr,640,0,59.63,11.983205,0.0,SUCCESS,"NetDiag: Poor | Tests: basic(138.9ms,0%loss) | small_pkt(29.0ms,0%loss) | large_pkt(33.7ms,0%loss) | rapid(37.0ms,0%loss) | Jitter: 184.2% | Successful: 4/4",2025-06-09 14:28:36.460,2025-06-09 14:28:48.444
2025-06-09 14:28:40.968,flow_704,h4,h6,10.0.2.2,10.0.3.2,iperf,730112,5840000,10.098,10,0,SUCCESS,"Transfer: 713 KBytes, Bandwidth: 5.84 Mbits/sec | Latency: 10.10ms",2025-06-09 14:28:40.968,2025-06-09 14:28:56.336
2025-06-09 14:28:27.442,flow_701,h2,h3,10.0.1.2,10.0.2.1,iperf,1174405,9440000,185.526,20,0,SUCCESS,"Transfer: 1.12 MBytes, Bandwidth: 9.44 Mbits/sec | Latency: 185.53ms",2025-06-09 14:28:27.442,2025-06-09 14:28:57.588
2025-06-09 14:28:19.933,flow_698,h7,h1,10.0.4.1,10.0.1.1,iperf,1572864,12600000,10.244,20,0,SUCCESS,"Transfer: 1.50 MBytes, Bandwidth: 12.6 Mbits/sec | Latency: 10.24ms",2025-06-09 14:28:19.933,2025-06-09 14:28:59.198
2025-06-09 14:28:59.008,flow_708,h5,h1,10.0.3.1,10.0.1.1,ping,320,0,8.14,5,0,SUCCESS,"Packet Loss: 0%, RTT: 6.185/8.140/12.089/2.090 ms",2025-06-09 14:28:59.008,2025-06-09 14:29:03.038
2025-06-09 14:28:33.954,flow_702,h8,h6,10.0.4.2,10.0.3.2,iperf,1572864,12600000,7.606,30,0,SUCCESS,"Transfer: 1.50 MBytes, Bandwidth: 12.6 Mbits/sec | Latency: 7.61ms",2025-06-09 14:28:33.954,2025-06-09 14:29:07.595
2025-06-09 14:28:47.483,flow_705,h4,h5,10.0.2.2,10.0.3.1,mtr,640,0,10.18,22.800196,0.0,SUCCESS,"NetDiag: Fair | Tests: basic(9.5ms,0%loss) | small_pkt(7.9ms,0%loss) | large_pkt(7.1ms,0%loss) | rapid(16.1ms,0%loss) | Jitter: 88.3% | Successful: 4/4",2025-06-09 14:28:47.483,2025-06-09 14:29:10.283
2025-06-09 14:28:49.988,flow_706,h4,h8,10.0.2.2,10.0.4.2,iperf,730112,5840000,12.474,10,0,SUCCESS,"Transfer: 713 KBytes, Bandwidth: 5.84 Mbits/sec | Latency: 12.47ms",2025-06-09 14:28:49.988,2025-06-09 14:29:20.455
2025-06-09 14:29:11.041,flow_712,h6,h1,10.0.3.2,10.0.1.1,mtr,640,0,122.92,12.264788,0.0,SUCCESS,"NetDiag: Poor | Tests: basic(131.2ms,0%loss) | small_pkt(131.3ms,0%loss) | large_pkt(134.4ms,0%loss) | rapid(94.8ms,0%loss) | Jitter: 32.2% | Successful: 4/4",2025-06-09 14:29:11.041,2025-06-09 14:29:23.306
2025-06-09 14:28:58.507,flow_707,h3,h6,10.0.2.1,10.0.3.2,iperf,458752,3670000,189.807,20,0,SUCCESS,"Transfer: 448 KBytes, Bandwidth: 3.67 Mbits/sec | Latency: 189.81ms",2025-06-09 14:28:58.507,2025-06-09 14:29:22.467
2025-06-09 14:29:01.517,flow_709,h5,h8,10.0.3.1,10.0.4.2,iperf,1572864,12600000,17.779,20,0,SUCCESS,"Transfer: 1.50 MBytes, Bandwidth: 12.6 Mbits/sec | Latency: 17.78ms",2025-06-09 14:29:01.517,2025-06-09 14:29:29.255
2025-06-09 14:29:24.059,flow_714,h8,h3,10.0.4.2,10.0.2.1,mtr,640,0,90.32,12.092493,0.0,SUCCESS,"NetDiag: Poor | Tests: basic(184.0ms,0%loss) | small_pkt(143.8ms,0%loss) | large_pkt(16.3ms,0%loss) | rapid(17.2ms,0%loss) | Jitter: 185.7% | Successful: 4/4",2025-06-09 14:29:24.059,2025-06-09 14:29:36.152
2025-06-09 14:29:08.536,flow_711,h1,h4,10.0.1.1,10.0.2.2,iperf,1572864,12600000,7.475,20,0,SUCCESS,"Transfer: 1.50 MBytes, Bandwidth: 12.6 Mbits/sec | Latency: 7.47ms",2025-06-09 14:29:08.536,2025-06-09 14:29:42.079
2025-06-09 14:29:24.560,flow_715,h2,h3,10.0.1.2,10.0.2.1,iperf,1572864,12600000,7.806,20,0,SUCCESS,"Transfer: 1.50 MBytes, Bandwidth: 12.6 Mbits/sec | Latency: 7.81ms",2025-06-09 14:29:24.560,2025-06-09 14:29:48.172
2025-06-09 14:29:21.555,flow_713,h4,h6,10.0.2.2,10.0.3.2,iperf,1572864,12600000,72.734,20,0,SUCCESS,"Transfer: 1.50 MBytes, Bandwidth: 12.6 Mbits/sec | Latency: 72.73ms",2025-06-09 14:29:21.555,2025-06-09 14:29:45.315
2025-06-09 14:29:37.579,flow_717,h6,h8,10.0.3.2,10.0.4.2,iperf,1572864,12600000,9.529,20,0,SUCCESS,"Transfer: 1.50 MBytes, Bandwidth: 12.6 Mbits/sec | Latency: 9.53ms",2025-06-09 14:29:37.579,2025-06-09 14:30:01.284
2025-06-09 14:29:50.597,flow_719,h6,h8,10.0.3.2,10.0.4.2,iperf,1174405,9440000,14.252,10,0,SUCCESS,"Transfer: 1.12 MBytes, Bandwidth: 9.44 Mbits/sec | Latency: 14.25ms",2025-06-09 14:29:50.597,2025-06-09 14:30:14.871
2025-06-09 14:29:04.023,flow_710,h5,h4,10.0.3.1,10.0.2.2,iperf,589824,4710000,7.585,30,0,SUCCESS,"Transfer: 576 KBytes, Bandwidth: 4.71 Mbits/sec | Latency: 7.58ms",2025-06-09 14:29:04.023,2025-06-09 14:29:59.453
2025-06-09 14:29:31.069,flow_716,h4,h7,10.0.2.2,10.0.4.1,iperf,688128,5500000,187.466,30,0,SUCCESS,"Transfer: 672 KBytes, Bandwidth: 5.50 Mbits/sec | Latency: 187.47ms",2025-06-09 14:29:31.069,2025-06-09 14:30:20.549
2025-06-09 14:30:22.638,flow_723,h7,h1,10.0.4.1,10.0.1.1,ping,320,0,182.714,5,0,SUCCESS,"Packet Loss: 0%, RTT: 180.065/182.714/187.755/2.677 ms",2025-06-09 14:30:22.638,2025-06-09 14:30:31.425
2025-06-09 14:30:03.619,flow_721,h2,h7,10.0.1.2,10.0.4.1,iperf,755712,6050000,21.236,30,0,SUCCESS,"Transfer: 738 KBytes, Bandwidth: 6.05 Mbits/sec | Latency: 21.24ms",2025-06-09 14:30:03.619,2025-06-09 14:30:37.278
2025-06-09 14:30:03.116,flow_720,h7,h2,10.0.4.1,10.0.1.2,iperf,563200,4510000,17.057,20,0,SUCCESS,"Transfer: 550 KBytes, Bandwidth: 4.51 Mbits/sec | Latency: 17.06ms",2025-06-09 14:30:03.116,2025-06-09 14:30:27.226
2025-06-09 14:29:48.090,flow_718,h4,h5,10.0.2.2,10.0.3.1,iperf,1572864,12600000,191.767,20,0,SUCCESS,"Transfer: 1.50 MBytes, Bandwidth: 12.6 Mbits/sec | Latency: 191.77ms",2025-06-09 14:29:48.090,2025-06-09 14:30:40.653
2025-06-09 14:30:29.149,flow_724,h2,h6,10.0.1.2,10.0.3.2,ping,320,0,7.9,5,0,SUCCESS,"Packet Loss: 0%, RTT: 7.223/7.900/8.254/0.356 ms",2025-06-09 14:30:29.149,2025-06-09 14:30:43.335
2025-06-09 14:30:31.654,flow_725,h4,h5,10.0.2.2,10.0.3.1,ping,320,0,10.56,5,0,SUCCESS,"Packet Loss: 0%, RTT: 7.812/10.560/20.778/5.111 ms",2025-06-09 14:30:31.654,2025-06-09 14:30:44.683
2025-06-09 14:30:40.670,flow_727,h1,h2,10.0.1.1,10.0.1.2,mtr,640,0,0.14,12.096475,0.0,SUCCESS,"NetDiag: Poor | Tests: basic(0.2ms,0%loss) | small_pkt(0.1ms,0%loss) | large_pkt(0.1ms,0%loss) | rapid(0.1ms,0%loss) | Jitter: 112.0% | Successful: 4/4",2025-06-09 14:30:40.670,2025-06-09 14:30:52.767
2025-06-09 14:30:16.128,flow_722,h2,h6,10.0.1.2,10.0.3.2,mtr,640,0,10.46,37.116476,0.0,SUCCESS,"NetDiag: Good | Tests: basic(9.8ms,0%loss) | small_pkt(7.9ms,0%loss) | large_pkt(11.1ms,0%loss) | rapid(13.1ms,0%loss) | Jitter: 50.0% | Successful: 4/4",2025-06-09 14:30:16.128,2025-06-09 14:30:53.245
