timestamp,flow_id,from_host,to_host,from_ip,to_ip,traffic_type,size_bytes,bandwidth_bps,latency_ms,duration_sec,packet_loss_pct,status,details,flow_start_time,flow_end_time
2025-06-09 14:53:31.262,flow_202,h8,h6,10.0.4.2,10.0.3.2,mtr,640,0,13.764,35.03326,0.0,SUCCESS,"NetDiag: Fair | Tests: basic(8.1ms,0%loss) | small_pkt(8.4ms,0%loss) | large_pkt(13.6ms,0%loss) | rapid(15.8ms,0%loss) | Jitter: 67.8% | Successful: 4/4",2025-06-09 14:53:31.262,2025-06-09 14:54:06.295
2025-06-09 14:53:55.900,flow_203,h4,h3,10.0.2.2,10.0.2.1,mtr,640,0,0.168,12.143357,0.0,SUCCESS,"NetDiag: Poor | Tests: basic(0.3ms,0%loss) | small_pkt(0.1ms,0%loss) | large_pkt(0.1ms,0%loss) | rapid(0.1ms,0%loss) | Jitter: 145.4% | Successful: 4/4",2025-06-09 14:53:55.900,2025-06-09 14:54:08.043
2025-06-09 14:52:41.102,flow_198,h8,h7,10.0.4.2,10.0.4.1,mtr,640,0,2.82,87.049429,0.0,SUCCESS,"NetDiag: Poor | Tests: basic(0.2ms,0%loss) | small_pkt(0.1ms,0%loss) | large_pkt(0.2ms,0%loss) | rapid(8.8ms,0%loss) | Jitter: 369.9% | Successful: 4/4",2025-06-09 14:52:41.102,2025-06-09 14:54:08.152
2025-06-09 14:54:09.447,flow_206,h1,h6,10.0.1.1,10.0.3.2,ping,320,0,10.616,5,0,SUCCESS,"Packet Loss: 0%, RTT: 7.069/8.847/10.149/1.117 ms",2025-06-09 14:54:09.447,2025-06-09 14:54:13.469
2025-06-09 14:54:08.943,flow_205,h6,h2,10.0.3.2,10.0.1.2,mtr,640,0,9.972,11.930892,0.0,SUCCESS,"NetDiag: Excellent | Tests: basic(9.5ms,0%loss) | small_pkt(8.0ms,0%loss) | large_pkt(7.8ms,0%loss) | rapid(8.0ms,0%loss) | Jitter: 20.0% | Successful: 4/4",2025-06-09 14:54:08.943,2025-06-09 14:54:20.874
2025-06-09 14:52:32.566,flow_197,h8,h6,10.0.4.2,10.0.3.2,iperf,1572864,10710000,9.522,30,0,SUCCESS,"Transfer: 1.50 MBytes, Bandwidth: 10.71 Mbits/sec | Latency: 9.52ms",2025-06-09 14:52:32.566,2025-06-09 14:54:38.347
2025-06-09 14:53:28.738,flow_201,h5,h8,10.0.3.1,10.0.4.2,iperf,1572864,10710000,20.983,30,0,SUCCESS,"Transfer: 1.50 MBytes, Bandwidth: 10.71 Mbits/sec | Latency: 20.99ms",2025-06-09 14:53:28.738,2025-06-09 14:54:29.505
2025-06-09 14:54:47.573,flow_210,h5,h4,10.0.3.1,10.0.2.2,ping,320,0,11.244,5,0,SUCCESS,"Packet Loss: 0%, RTT: 7.734/9.370/12.011/1.625 ms",2025-06-09 14:54:47.573,2025-06-09 14:54:51.605
2025-06-09 14:53:12.203,flow_200,h8,h6,10.0.4.2,10.0.3.2,mtr,640,0,12.12,100.220169,0.0,SUCCESS,"NetDiag: Fair | Tests: basic(15.7ms,0%loss) | small_pkt(8.2ms,0%loss) | large_pkt(8.2ms,0%loss) | rapid(8.3ms,0%loss) | Jitter: 74.7% | Successful: 4/4",2025-06-09 14:53:12.203,2025-06-09 14:54:52.423
2025-06-09 14:54:22.482,flow_208,h8,h7,10.0.4.2,10.0.4.1,iperf,1174405,8024000,0.241,10,0,SUCCESS,"Transfer: 1.12 MBytes, Bandwidth: 8.02 Mbits/sec | Latency: 0.24ms",2025-06-09 14:54:22.482,2025-06-09 14:55:02.563
2025-06-09 14:54:52.106,flow_211,h7,h8,10.0.4.1,10.0.4.2,iperf,455680,3102500,61.222,10,0,SUCCESS,"Transfer: 445 KBytes, Bandwidth: 3.1 Mbits/sec | Latency: 61.22ms",2025-06-09 14:54:52.106,2025-06-09 14:55:16.581
2025-06-09 14:54:06.436,flow_204,h3,h8,10.0.2.1,10.0.4.2,iperf,917504,6239000,23.0,30,0,SUCCESS,"Transfer: 896 KBytes, Bandwidth: 6.24 Mbits/sec | Latency: 23.0ms",2025-06-09 14:54:06.436,2025-06-09 14:55:23.914
2025-06-09 14:54:39.017,flow_209,h4,h8,10.0.2.2,10.0.4.2,iperf,917504,6239000,9.503,30,0,SUCCESS,"Transfer: 896 KBytes, Bandwidth: 6.24 Mbits/sec | Latency: 9.5ms",2025-06-09 14:54:39.017,2025-06-09 14:55:23.974
2025-06-09 14:54:13.962,flow_207,h5,h8,10.0.3.1,10.0.4.2,iperf,458752,3119500,92.732,20,0,SUCCESS,"Transfer: 448 KBytes, Bandwidth: 3.12 Mbits/sec | Latency: 92.74ms",2025-06-09 14:54:13.962,2025-06-09 14:55:24.445
2025-06-09 14:55:03.131,flow_213,h7,h8,10.0.4.1,10.0.4.2,mtr,640,0,453.312,23.989557,0.0,SUCCESS,"NetDiag: Poor | Tests: basic(432.2ms,0%loss) | small_pkt(635.6ms,0%loss) | large_pkt(443.1ms,0%loss) | rapid(0.1ms,0%loss) | Jitter: 168.2% | Successful: 4/4",2025-06-09 14:55:03.131,2025-06-09 14:55:27.121
2025-06-09 14:55:17.659,flow_214,h5,h3,10.0.3.1,10.0.2.1,ping,320,0,11.01,5,0,SUCCESS,"Packet Loss: 0%, RTT: 7.815/9.175/12.900/1.879 ms",2025-06-09 14:55:17.659,2025-06-09 14:55:28.484
2025-06-09 14:55:29.723,flow_218,h5,h7,10.0.3.1,10.0.4.1,ping,320,0,9.63,5,0,SUCCESS,"Packet Loss: 0%, RTT: 7.252/8.025/8.633/0.453 ms",2025-06-09 14:55:29.723,2025-06-09 14:55:34.566
2025-06-09 14:55:26.196,flow_215,h5,h6,10.0.3.1,10.0.3.2,iperf,1174405,8024000,0.234,10,0,SUCCESS,"Transfer: 1.12 MBytes, Bandwidth: 8.02 Mbits/sec | Latency: 0.24ms",2025-06-09 14:55:26.196,2025-06-09 14:55:46.659
